NOM_LIEU,DEP,COMMUNE,CODE_INSEE,CODE_POSTAL,RAYONNEMENT,GPE_800M,GPE_STATION,GPE_LIGNE,CARTO_BIB,BIB_RECENT2000,BIB_OUV_DIM,BIB_SURFM2,BIB_GESTION,BIB_CODE_OBS_LIVRE,CARTO_CINEMA,CINE_TYPE,CINE_NBRE_ECRAN,CARTO_MUSEE,MUSEE_TYPE,CENTRE_INTERPRETATION,CARTO_EXPO,EXPO_TYPE,EXPO_TRAM,CARTO_PATRIMOINE,MAISON_ILLUSTRES,CARTO_SPECTACLE,SPECT_TYPE,RES_G20_T,RES_ACTES_IF,CARTO_ENSEIGNEMENT,ENS_SUP_CULTURE,CARTO_PRATIQUES_AMATEURS,PRATIQUES_AMATEURS,CARTO_FREQ,FREQ_2013,ARCHIVES,N_VOIE,C_SUF1,C_SUF2,C_SUF3,C_DESI,C_LIAISON,L_VOIE,N_SQ_EP,C_NIV1,C_NIV2,C_NIV3,COORD_X,COORD_Y
Abel Gance,92,Courbevoie,92026,92400,3,Oui,Bﾂcon-Les-Bruyﾊres,GPE - L15,,,,,,,Oui,gﾂnﾂraliste,1,,,,,,,,,,,,,,,,,,,,184, ,,,BD,,SAINT DENIS,923001060,13,136,13611,"646623,9621","6867060,314"
Acadﾂmie de Danse Barbot Perrot - Danse,75,Paris 17e Arrondissement,75117,75017,3,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,18, , , ,RUE,DE,TOCQUEVILLE,753000955,13,132,13211,"649665,6055","6864963,345"
Acadﾂmie de Guitare,75,Paris 13e Arrondissement,75113,75013,3,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,11, , , ,PAS,DU,MOULINET,753000741,13,132,13211,"652582,4279","6858678,034"
Acadﾂmie Fratellini,93,Saint-Denis,93066,93200,1,Oui,Saint-Denis Pleyel,GPE - L14,,,,,,,,,,,,,,,,,,,,,,Oui,11,Oui,12,,,,, ,,,RUE,DES,CHEMINOTS,933009170,13,132,13213,"652545,5787","6868651,213"
Acadﾂmie Fratellini,93,Saint-Denis,93066,93200,1,Oui,Stade de France,GPE - L15,,,,,,,,,,,,,,,,,,,,,,Oui,11,Oui,12,,,,, ,,,RUE,DES,CHEMINOTS,933009170,13,132,13213,"652545,5787","6868651,213"
Accordﾂon Club d'Aubervilliers,93,Aubervilliers,93001,93300,3,Oui,Mairie d'Aubervilliers,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,41,b,,,RUE,,ANATOLE FRANCE,933008893,13,132,13211,"654731,3","6868892,6"
Arty Schow,93,Saint-Ouen,93070,93400,3,Oui,Mairie de Saint-Ouen,GPE - L14,,,,,,,,,,,,,Oui,autres,,,,,,,,,,,,,,,1,,,,RUE,,JEAN BAPTISTE CLEMENT,933008965,13,133,13321,"651342,3253","6867540,091"
Association Cours Hippolyte,75,Paris 17e Arrondissement,75117,75017,3,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,109, , , ,RUE, ,CARDINET,753000238,13,132,13211,"649494,3526","6865273,196"
Atelier d'Artistes,75,Paris 17e Arrondissement,75117,75017,3,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,106, , , ,RUE,DES,DAMES,753000100,13,134,13413,"649885,9789","6864951,506"
Atelier de Recherche Chorﾂgraphique - Danse,75,Paris 13e Arrondissement,75113,75013,3,Oui,Maison Blanche - Paris XIIIe,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,11,,,,155, , , ,AV,DE,CHOISY,753000625,13,132,13211,"652891,0986","6858846,595"
Atelier de sculpture,93,Aubervilliers,93001,93300,,Oui,Fort d'Aubervilliers,GPE - L15,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,35,,,,RUE,,HELENE COCHENNEC,933009152,13,134,13413,"656213,5061","6868741,665"
Atelier Kleber,93,Saint-Ouen,93070,93400,,Oui,Mairie de Saint-Ouen,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,14,,,,RUE,,KLEBER,933009147,13,134,13413,"651149,2","6867486,5"
Atelier Mariton,93,Saint-Ouen,93070,93400,,Oui,Mairie de Saint-Ouen,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,10,,,,RUE,,MARITON,933009138,13,134,13413,"651407,7","6867589,1"
Atelier Terres des Batignolles,75,Paris 17e Arrondissement,75117,75017,3,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,14, , , ,RUE, ,JACQUEMONT,753000099,13,134,13413,"650324,0607","6865536,629"
Ateliers Beaux-Arts,92,Clichy-sous-Bois,92024,92110,3,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,8,,,,RUE,,CURTON,923005935,13,134,13413,649581,"6866812,3"
Ateliers Beaux-Arts de la Ville de Paris,75,Paris 17e Arrondissement,75117,75017,2,Oui,Porte de Clichy,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,28, ,,,RUE,,GAUTHEY,752010632,13,134,13413,"650214,3981","6866017,222"
Ateliers Beaux-Arts de la Ville de Paris,75,Paris 17e Arrondissement,75117,75017,2,Oui,Pont Cardinet,GPE - L14,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,28, ,,,RUE,,GAUTHEY,752010632,13,134,13413,"650214,3981","6866017,222"
Ateliers Poulbot,93,Sevran,93071,93270,3,Oui,Sevran-Beaudottes,GPE - L16,,,,,,,,,,,,,,,,,,,,,,,,Oui,13,,,,18,b,,,AV,,DUMONT D'URVILLE,933008907,13,134,13413,"664988,4",6871924
Atlas,93,Saint-Ouen,93070,93400,3,Oui,Mairie de Saint-Ouen,GPE - L14,,,,,,,,,,,,sciences,,,,,,,,,,,,Oui,14,,,,7, ,,,RUE,,UNION,933002667,13,134,13414,"651422,5384","6867992,303"
Bibliothﾊque Albert Camus,93,Sevran,93071,93270,3,Oui,Sevran-Livry,GPE - L16,Oui,0,Non,1264,M,4204,,,,,,,,,,,,,,,,,,,,,,,6, ,,,RUE,,GARE,933002711,13,131,13116,"665883,8149","6870681,597"
Bibliothﾊque Centrale Elsa Triolet,93,Bobigny,93008,93000,2,Oui,Bobigny-Pablo Picasso,GPE - L15,Oui,0,Non,3600,M,4178,,,,,,,,,,,,,,,,,,,,,,,4, ,,,RUE,,UNION,933000458,13,131,13116,"659078,0319","6867623,476"
Bibliothﾊque Charcot,92,Courbevoie,92026,92400,3,Oui,Bﾂcon-Les-Bruyﾊres,GPE - L15,Oui,1,Non,472,M,6220,,,,,,,,,,,,,,,,,,,,,,,184,b,,,BD,,SAINT DENIS,923005913,13,131,13116,"646618,4","6867063,5"
Bibliothﾊque de la Fourche (centre Socioculturel de la Fourche),92,Clamart,92023,92140,3,Oui,Fort d'Issy/Vanves/Clamart,GPE - L15,Oui,1,Non,180,I,6215,,,,,,,,,,,,,,,,,,,,,,,216, ,,,AV,,JEAN JAURES,923000915,13,131,13116,"646492,9426","6857181,665"
Bibliotheque de l'oiseau Lyre,92,Boulogne-Billancourt,92012,92100,3,Oui,Pont de Sﾊvres,GPE - L15,Oui,0,Non,0,A,,,,,,,,,,,,,,,,,,,,,,,,1732, ,,,ALL,,VIEUX PONT DE SEVRES,923000605,13,131,13116,"643760,6668","6859029,919"
Bibliothﾊque Discothﾊque George Sand,94,L'Hay-les-Roses,94038,94240,3,Oui,Chevilly Trois Communes,GPE - L14,Oui,0,Oui,1800,M,4229,,,,,,,,,,,,,,,,,,,,,,,21, ,,,RUE,,HENRI THIRARD,943001662,13,131,13116,"651865,8362","6853326,405"
Bibliotheque du Forum,92,Boulogne-Billancourt,92012,92100,3,Oui,Pont de Sﾊvres,GPE - L15,Oui,0,Non,0,A,,,,,,,,,,,,,,,,,,,,,,,,1678, ,,,ALL,,VIEUX PONT DE SEVRES,923000606,13,131,13116,"643719,969","6858997,632"
Bibliotheque du Plateau Mont Valerien,92,Rueil-Malmaison,92063,92500,3,Oui,"Rueil/Suresnes ""Mont-Valerien""",GPE - L15,Oui,0,Non,80,M,6230,,,,,,,,,,,,,,,,,,,,,,,, ,,,PL,DU,HUIT MAI 1945,923004527,13,131,13116,"641536,2854","6863749,367"
Bibliothﾊque ﾐmile Aillaud,93,Bobigny,93008,93000,3,Oui,Pont de Bondy,GPE - L15,Oui,0,Non,700,M,6251,,,,,,,,,,,,,,,,,,,,,,,60, ,,,AV,,EDOUARD VAILLANT,933000459,13,131,13116,"660983,9779","6867855,055"
Bibliothﾊque Henri Michaux,93,Aubervilliers,93001,93300,3,Oui,Fort d'Aubervilliers,GPE - L15,Oui,0,Non,668,I,10323,,,,,,,,,,,,,,,,,,,,,,,27,b,,,RUE,,LOPEZ ET JULES MARTIN,933000333,13,131,13116,"655989,6141","6868515,688"
Bibliothﾊque Marguerite Yourcenar,93,Sevran,93071,93270,3,Oui,Sevran-Beaudottes,GPE - L16,Oui,0,Non,550,M,6268,,,,,,,,,,,,,,,,,,,,,,,, ,,,PL,,NELSON MANDELA,933002713,13,131,13116,"665177,3295","6872021,995"
Bibliothﾊque Municipale Colette Vivier,75,Paris 17e Arrondissement,75117,75017,3,Oui,Porte de Clichy,GPE - L14,Oui,0,Non,506,M,10226,,,,,,,,,,,,,,,,,,,,,,,6, ,,,RUE,,FOURNEYRON,752003387,13,131,13116,"650112,0972","6865745,089"
Bibliothﾊque Municipale Colette Vivier,75,Paris 17e Arrondissement,75117,75017,3,Oui,Pont Cardinet,GPE - L14,Oui,0,Non,506,M,10226,,,,,,,,,,,,,,,,,,,,,,,6, ,,,RUE,,FOURNEYRON,752003387,13,131,13116,"650112,0972","6865745,089"
Bibliothﾊque Municipale Denis-Diderot,93,Bondy,93010,93140,2,Oui,Pont de Bondy,GPE - L15,Oui,0,Non,2960,I,4179,,,,,,,,,,,,,,,,,,,,,,,23, ,,,RUE,,ROGER SALENGRO,933000531,13,131,13116,"661825,3747","6866986,273"
Bibliothﾊque Municipale Franﾇois Cavana,94,Nogent-sur-Marne,94052,94130,3,Oui,Le Perreux - Nogent,GPE - L15,Oui,0,Non,960,M,4237,,,,,,,,,,,,,,,,,,,,,,,36, ,,,BD,,GALLIENI,943002135,13,131,13116,"662143,2927","6860157,945"
